엔딩 구분,진행 순서,화면/시스템 연출,화자 (UI),대사 및 내용,배경 이미지,스탠딩 일러스트,CG 일러스트,BGM,SFX,화면 효과,화자 위치
엔딩 A,A-1,"[화면] 잠시 암전 후, 바 테이블 위에 놓인 쪽지 클로즈업",(시스템 텍스트 혹은 대화창),할 얘기가 있으니 나루다원으로 오렴.,Endings/RealEnding1,,,,,fade,right
엔딩 A,A-2,[화면] 주인공 시선에서 보이는 바에 서있는 마님,-,,Endings/RealEnding2,,,,,none,right
엔딩 A,A-3,[대화창],마님,"지난 3일, 고단한 영혼들을 달래주느라 고생 많았다.",,Portraits/manim_illust,,,,none,right
엔딩 A,A-4,[대화창] 대화창 위 아이템 노출,마님,…이게 뭔지 기억하겠니?,Endings/RealEnding3,Portraits/manim_illust,,,,none,right
엔딩 A,A-5,[회상/전환] 화면이 세피아/흑백 스케치 톤으로 깨지며 전환 (플래시백) ((호박엿을 쥔 채 멀어지는 엄마를 바라보는 모습)),(연출),,Endings/RealEnding4,,,,,sepia,right
엔딩 A,A-6,[대화창] 회상 중 주인공 독백,독백,… 엄마?,"Endings/RealEnding5, 1.2",Portraits/mc rough_illust,,,,fadeIn,left
엔딩 A,A-8,[화면] 현실 복귀.,독백,전부… 나?,,Portraits/mc rough_illust,,,,fade,left
엔딩 A,A-9,[대화창],마님,네가 대접한 손님들은 모두… 험한 세상을 버티느라 네 혼에 난 상처들이었단다.,,Portraits/manim_illust,,,,none,right
엔딩 A,A-10,[대화창],마님 (어머니),어린 널 벼랑 끝에 혼자 두고 와서… 널 그리 모진 죄 속으로 밀어 넣은 것 같아 이 강을 건널 수가 없었어.,,Portraits/manim_illust,,,,none,right
엔딩 A,A-11,[대화창] 마님의 망설이는 모습,마님 (어머니),….......,,Portraits/manim_illust,,,,none,right
엔딩 A,A-12,[대화창] 마님의 옅은 미소,마님 (어머니),"그래도 마지막엔, 이 어미를 기억해주어 고맙구나.",,Portraits/manim_illust,,,,none,right
엔딩 A,A-13,"[엔딩 CG] 어머니가 다 큰 주인공을 따뜻하게 안아주는 일러스트 등장 (대사창 사라지고, 따뜻하고 애틋한 BGM 페이드인)",(연출),,"Endings/RealEnding6~8,1.8,0.7",,,,,animate,right
엔딩 B,B-1,[화면] 카페 밖으로 걸어 나오는 주인공 (나루다원 밖 횡 스크롤 화면),(연출),,Endings/NormalEnding,,,,,fade,right
엔딩 B,B-2,[대화창] (마님과 상호작용) 주인공과 마님의 대화,마님,그동안 수고했어. 또 오지 말고.,,Portraits/manim_illust,,,,none,right
엔딩 B,B-3,[대화창] (이후 페이드 아웃),돌쇠,타라.,,Portraits/dolsoe_illust,,,,none,right
엔딩 B,B-4,[대화창] 어두운 배경,독백,이상한 곳이었어.,,Portraits/mc rough_illust,,,,none,left
엔딩 B,B-5,[대화창],독백,하지만 그 손님들 이야기… 묘하게 남 일 같지가 않네.,,Portraits/mc rough_illust,,,,none,left
엔딩 B,B-6,[대화창],독백,나도 모르게 위로를 받은 기분이야.,,Portraits/mc rough_illust,,,,none,left
엔딩 B,B-7,[엔딩 CG] 안개 낀 강을 배 타고 건너는 주인공과 돌쇠 일러스트 (씁쓸하고 잔잔한 여운의 BGM 페이드인),(연출),,,,,,,fade,right
엔딩 C,C-1,[화면] 화면 전체에 붉은색 필터/노이즈 적용. BGM 뚝 끊김 (적막한 분위기 연출),(연출),,,,,,,red_filter,right
엔딩 C,C-2,[화면] 마님의 스탠딩 일러스트가 매우 차갑고 실망한 표정으로 변경됨,마님,몇 번이나 기회를 주었는데…,,Portraits/manim_illust,,,,red_filter,right
엔딩 C,C-3,[대화창],마님,"넌 끝내 남의 상처도, 네 자신의 아픔도 들여다보려 하지 않는구나.",,Portraits/manim_illust,,,,red_filter,right
엔딩 C,C-4,[대화창],마님,나가거라. 넌 아직 이 강을 건널 자격이 없다.,,Portraits/manim_illust,,,,red_filter,right
엔딩 C,C-5,[사운드] '쾅!' 하고 문이 거칠게 닫히는 효과음 출력 (화면 2초 뒤 블랙아웃 되며 타이틀 화면으로 강제 복귀),(연출),,,,,,,blackout,right
